customer_id,age,tenure_months,monthly_charges,support_calls,churn
179,19,69,116.58,7,1
180,59,20,63.25,5,0
181,62,11,51.18,0,0
182,23,38,70.61,3,0
183,45,6,63.95,6,1
184,45,23,30.57,1,1
185,61,47,84.08,8,1
186,61,46,41.6,7,1
187,37,12,81.96,7,1
188,47,13,85.02,6,1
189,28,62,35.2,3,0
190,45,60,26.13,1,0
191,42,43,98.08,2,0
192,56,68,65.98,5,1
193,50,5,25.82,4,0
194,18,37,119.49,7,0
195,44,31,25.78,5,1
196,69,9,89.5,5,0
197,30,51,118.37,0,1
198,58,29,43.92,3,0
199,20,40,34.22,4,0
200,56,41,32.14,2,1
201,23,11,50.33,8,0
202,25,23,30.1,0,0
203,44,1,89.22,5,0
204,26,46,26.23,5,0
205,54,21,70.94,9,0
206,50,36,119.67,4,1
207,68,54,101.4,4,1
208,59,57,81.52,9,1
209,61,1,50.63,4,0
210,41,63,82.39,5,0
211,32,54,72.7,7,0
212,49,55,62.61,1,0
213,49,40,33.07,5,1
214,41,15,108.66,0,1
215,58,21,64.98,3,1
216,69,47,39.46,9,1
217,66,53,56.78,2,1
218,66,9,61.41,8,1
219,69,52,102.75,2,1
220,29,57,93.36,5,1
221,56,26,96.93,0,1
222,19,41,21.1,5,1
223,20,35,61.62,3,0
224,66,63,68.13,7,0
225,54,25,21.92,8,0
226,66,38,45.98,3,0
227,34,2,96.03,9,1
228,66,7,33.71,9,0
229,19,34,73.53,5,1
230,19,17,41.52,0,1
231,45,43,21.21,3,1
232,40,59,44.12,6,1
233,54,51,117.59,0,1
234,49,54,100.15,7,1
235,50,24,115.96,9,1
236,18,25,68.79,5,1
237,36,71,30.97,4,1
238,19,52,74.8,9,0
239,61,70,65.44,8,1
240,43,33,104.44,1,1
241,49,49,29.81,4,0
242,23,29,68.82,5,1
243,49,63,35.0,6,1
244,21,22,52.47,4,1
245,28,26,93.74,8,1
246,34,28,67.6,0,0
247,55,49,57.59,6,0
248,41,71,59.45,9,1
249,22,49,65.94,6,1
250,69,20,98.5,3,1
251,51,63,109.21,8,1
252,23,61,115.53,4,0
253,39,49,98.69,3,1
254,28,71,51.54,6,1
255,65,1,88.81,3,1
256,33,13,63.76,2,1
257,50,51,45.47,8,1
258,26,56,104.09,7,0
259,23,62,23.84,0,1
260,33,32,110.18,6,1
261,46,30,66.15,8,1
262,20,29,83.72,7,1
263,37,49,85.94,7,1
264,53,45,109.51,5,0
265,36,30,83.67,3,0
266,43,16,81.39,7,0
267,20,40,26.67,2,1
268,36,19,71.84,8,1
269,37,18,35.02,1,0
270,49,1,93.74,1,0
271,24,47,71.22,6,0
272,69,66,88.02,9,1
273,58,38,24.17,3,1
274,50,51,28.48,9,1
275,57,63,91.63,7,0
276,56,4,27.21,8,1
277,35,1,27.13,6,1
278,57,8,21.21,4,0
279,18,29,115.65,7,1
280,28,55,93.75,3,0
281,45,3,55.33,1,1
282,42,32,49.65,5,1
283,67,10,54.97,8,1
284,40,34,97.47,0,0
285,48,55,86.14,9,1
286,47,32,38.52,6,1
287,59,50,37.41,9,0
288,52,7,29.84,8,1
289,24,8,86.03,9,1
290,33,65,96.44,8,1
291,43,57,46.5,9,1
292,65,67,22.09,2,0
293,69,59,28.22,4,1
294,66,54,116.79,7,1
295,19,67,49.54,7,1
296,18,51,96.92,3,0
297,65,8,82.47,0,1
298,29,34,58.19,0,0
299,22,35,40.57,3,1
300,54,32,32.14,5,1
301,49,46,81.5,7,1
302,26,16,97.46,5,1
303,58,68,84.39,8,0
304,52,37,73.03,8,1
305,36,54,24.2,1,0
306,65,14,116.85,9,0
307,33,55,99.87,0,0
308,20,48,49.28,1,1
309,37,7,118.0,4,1
310,41,7,80.19,3,0
311,50,33,78.24,3,1
312,41,23,94.81,8,1
313,69,19,101.18,7,1
314,28,19,85.65,5,0
315,66,36,32.81,0,0
316,25,29,53.83,1,1
317,53,60,112.81,5,0
318,55,2,42.46,1,1
319,57,1,57.22,9,1
320,37,47,63.21,4,0
321,52,69,63.94,4,1
322,65,20,81.29,5,1
323,42,11,114.31,5,1
324,52,2,44.07,5,0
325,42,67,32.15,1,0
326,46,12,39.75,9,1
327,35,20,108.69,2,0
328,63,5,84.58,5,1
329,35,37,48.59,7,1
330,19,38,101.59,0,1
331,52,9,106.14,0,1
332,33,53,104.65,1,0
333,58,44,111.89,5,0
334,53,24,45.22,8,1
335,50,30,95.5,3,1
336,21,59,66.05,2,1
337,50,14,104.2,7,1
338,31,9,92.85,9,1
339,38,40,97.64,8,1
340,65,66,85.62,4,1
341,37,25,37.74,8,0
342,25,22,74.5,1,1
343,24,4,118.47,2,1
344,20,26,113.74,6,1
345,34,58,24.32,6,0
346,50,29,36.48,5,0
347,65,37,33.17,5,0
348,29,70,92.6,1,0
349,68,18,101.78,9,1
350,39,42,41.35,5,1
351,39,41,70.59,3,1
352,63,38,104.07,2,1
353,47,34,93.28,1,1
354,55,17,74.22,0,0
355,55,37,79.03,4,0
356,62,25,70.84,1,0
357,68,27,49.75,1,0
358,25,57,76.5,6,1
359,44,31,88.89,7,1
360,44,6,107.33,9,1
361,51,40,83.63,7,1
362,38,12,96.11,3,1
363,47,53,36.01,0,0
364,50,71,66.16,6,1
365,45,10,20.93,0,1
366,64,45,44.67,3,0
367,50,17,92.65,7,1
368,22,26,119.18,1,1
369,65,62,29.92,5,0
370,36,46,60.15,5,1
371,21,64,100.01,8,1
372,52,2,40.4,4,1
373,66,54,75.51,9,1
374,34,65,93.31,3,1
375,61,51,81.6,4,0
376,45,53,38.8,9,1
377,47,36,55.54,4,0
378,46,26,98.38,7,1
379,63,29,75.42,9,1
380,23,21,20.52,7,1
381,52,11,96.1,1,0
382,58,40,23.53,6,0
383,54,11,94.57,7,0
384,41,36,40.25,5,1
385,46,59,115.81,4,1
386,66,39,56.79,8,1
387,63,54,52.69,2,0
388,48,55,34.89,9,1
389,52,24,50.56,3,0
390,50,22,107.67,8,1
391,69,69,119.63,5,1
392,38,56,56.83,7,1
393,49,33,64.86,6,0
394,40,36,92.21,1,0
395,50,20,108.62,2,0
396,20,62,79.3,0,1
397,35,26,59.15,8,1
398,42,66,61.26,6,0
399,59,40,89.56,0,1
400,48,17,20.32,2,0
401,20,1,81.96,3,0
402,57,61,55.55,3,0
403,63,43,99.42,4,0
404,41,42,29.3,2,1
405,67,25,78.82,2,1
406,49,39,68.1,0,0
407,64,35,84.23,6,1
408,39,3,26.49,9,1
409,40,44,78.0,0,0
410,19,51,76.15,1,0
411,44,12,76.07,3,0
412,59,19,80.35,3,1
413,19,44,87.65,4,1
414,43,59,100.5,1,1
415,34,49,46.98,3,0
416,57,61,102.5,0,1
417,50,17,69.83,1,1
418,26,57,27.71,0,0
419,60,55,25.86,9,0
420,65,47,53.42,9,1
421,56,12,98.49,3,1
422,46,62,90.77,3,0
423,59,8,98.86,6,1
424,43,21,71.73,9,1
425,52,70,64.02,8,1
426,67,25,34.75,8,1
427,42,12,52.82,4,1
428,41,15,63.4,9,0
429,30,59,28.86,0,0
430,24,26,42.06,0,0
431,53,26,79.82,5,1
432,62,47,93.57,1,0
433,37,32,119.83,7,1
434,18,10,113.31,8,1
435,25,16,84.26,3,0
436,63,71,62.12,4,0
437,33,17,83.62,7,0
438,31,23,98.57,2,0
439,29,26,31.83,4,0
440,68,7,60.99,2,1
441,40,14,103.98,9,1
442,32,7,58.38,2,1
443,45,9,77.19,2,0
444,51,48,78.78,6,1
445,19,59,38.45,6,1
446,49,39,56.22,6,0
447,40,18,53.45,9,0
448,39,59,22.62,7,0
449,68,17,22.42,4,1
450,42,14,103.17,4,0
451,39,31,47.31,3,1
452,39,24,71.81,6,1
453,66,60,49.87,9,1
454,69,45,114.07,3,1
455,59,3,45.93,1,1
456,23,37,62.97,3,0
457,32,43,107.27,7,1
458,60,40,104.19,8,1
459,54,55,38.61,2,0
460,50,39,100.26,6,1
461,25,15,65.82,8,1
462,61,4,68.3,3,1
463,61,25,33.35,9,1
464,22,13,28.06,2,0
465,56,33,92.79,4,1
466,21,16,69.65,0,1
467,23,42,63.69,2,0
468,62,66,92.95,7,0
469,49,55,96.55,7,1
470,69,42,35.89,3,0
471,47,34,81.02,1,0
472,64,30,33.54,7,0
473,52,13,95.14,7,0
474,57,13,85.7,9,1
475,69,18,115.66,3,0
476,33,32,26.9,2,0
477,30,39,25.71,1,0
478,67,46,48.22,8,1
479,59,29,46.17,0,1
480,47,62,44.7,6,0
481,36,62,110.63,4,0
482,34,57,44.95,7,1
483,36,16,47.19,3,0
484,45,56,95.94,6,1
485,43,10,64.97,4,1
486,54,30,97.67,4,0
487,43,25,26.54,8,1
488,40,5,68.76,8,1
489,26,65,23.36,8,0
490,29,49,26.27,5,0
491,18,3,110.64,5,1
492,18,45,33.92,4,0
493,64,14,73.24,8,1
494,51,30,61.11,9,1
495,49,68,54.73,7,1
496,65,18,109.98,6,1
497,42,62,22.18,6,1
498,57,37,86.38,5,0
499,62,25,116.34,4,0
500,18,48,76.02,3,0
501,33,65,113.68,2,1
502,56,53,25.23,2,0
503,22,15,61.88,5,1
504,39,49,46.02,3,1
505,46,68,93.08,5,1
506,20,12,118.13,2,1
507,29,59,45.65,3,0
508,43,37,85.42,8,1
509,33,61,39.81,4,1
510,68,43,76.53,6,1
511,54,70,66.39,9,1
512,39,39,117.2,1,0
513,46,56,80.85,4,1
514,31,63,54.95,8,0
515,45,46,31.41,2,0
516,22,11,35.12,8,1
517,64,62,42.53,5,1
518,66,25,45.1,3,1
519,47,71,105.06,6,0
520,63,52,76.12,7,1
521,69,4,72.34,5,1
522,22,59,31.48,4,1
523,29,20,106.01,5,1
524,33,63,92.28,4,1
525,43,54,26.77,7,0
526,43,57,90.78,0,1
527,65,41,74.35,6,1
528,38,3,28.17,9,0
529,56,6,65.83,9,1
530,53,5,68.47,1,1
531,50,5,36.58,8,1
532,47,54,114.57,0,1
533,54,47,105.0,9,0
534,40,49,86.9,5,1
535,27,9,66.23,8,0
536,22,20,61.18,0,0
537,53,61,85.1,3,0
538,51,35,74.54,3,1
539,69,50,26.23,8,1
540,48,62,71.25,4,1
541,27,17,100.64,4,1
542,36,3,65.92,5,1
543,49,32,25.2,0,0
544,18,13,98.63,0,0
545,22,68,40.14,8,0
546,62,14,45.86,2,1
547,21,11,36.47,3,1
548,33,56,53.02,0,1
549,41,67,95.68,8,1
550,33,29,71.94,7,0
551,19,9,40.49,1,0
552,66,67,107.78,7,1
553,45,25,107.96,6,1
554,49,42,107.06,5,1
555,44,9,43.88,0,0
556,37,40,65.12,6,0
557,41,25,118.5,9,1
558,29,5,97.2,6,1
559,67,11,22.72,8,1
560,52,59,26.52,0,0
561,50,38,66.39,1,1
562,50,5,110.92,8,1
563,68,48,73.87,8,1
564,60,18,69.78,5,0
565,54,70,30.55,5,0
566,29,37,85.68,3,1
567,20,60,102.21,3,1
568,18,48,58.04,4,1
569,50,28,97.56,2,1
570,57,69,116.45,0,0
571,27,40,40.38,0,1
572,60,45,72.33,6,1
573,61,62,48.71,0,1
574,46,58,99.29,0,0
575,30,67,77.76,2,0
576,29,56,83.46,9,1
577,48,40,99.79,3,1
578,63,40,59.6,3,0
579,19,33,111.51,1,0
580,68,6,73.3,0,1
581,67,19,35.8,2,0
582,52,40,89.59,3,0
583,40,59,99.33,2,0
584,34,59,51.68,7,0
585,43,48,105.72,9,1
586,25,41,110.61,0,0
587,46,13,47.69,1,0
588,43,45,118.35,6,1
589,27,53,34.07,3,0
590,43,42,40.2,7,1
591,51,63,38.42,2,0
592,68,27,109.4,5,0
593,58,38,85.43,8,1
594,24,60,35.21,0,0
595,21,7,64.03,0,0
596,67,5,81.53,7,0
597,62,45,28.35,2,0
598,28,58,108.24,4,1
599,46,31,100.36,0,0
600,53,23,70.52,4,1
601,42,42,116.71,5,0
602,38,10,61.78,7,1
603,53,32,118.41,2,1
604,27,53,86.79,2,1
605,54,30,83.47,9,1
606,26,39,36.6,8,1
607,41,31,108.19,3,1
608,52,2,62.75,3,1
609,66,12,36.22,6,1
610,52,39,21.26,1,0
611,65,66,75.98,7,0
612,53,13,72.74,5,1
613,35,46,91.94,2,0
614,66,27,109.03,8,1
615,56,17,27.94,4,0
616,49,60,93.15,7,0
617,41,64,38.74,6,0
618,40,35,105.82,7,1
619,49,70,101.91,6,0
620,54,30,74.08,2,1
621,29,71,91.02,1,0
622,66,63,51.44,6,1
623,30,28,67.12,2,0
624,40,60,102.16,2,0
625,42,37,65.93,1,0
626,52,22,55.78,3,1
627,58,68,69.42,7,0
628,47,20,102.82,0,1
629,34,68,53.52,0,0
630,66,64,37.38,4,1
631,37,17,91.2,4,1
632,65,12,102.6,0,0
633,42,22,30.06,5,1
634,39,17,43.99,0,1
635,30,10,34.2,4,1
636,36,65,54.79,8,1
637,66,22,65.04,4,0
638,53,50,94.88,5,0
639,29,14,85.11,7,1
640,58,64,82.09,0,0
641,36,47,55.24,1,1
642,29,29,104.14,8,1
643,26,36,67.13,2,0
644,24,52,117.91,5,1
645,45,7,83.41,4,1
646,31,29,32.63,1,1
647,48,11,87.62,6,1
648,69,33,52.51,3,0
649,36,6,88.63,0,0
650,64,32,26.96,3,1
651,33,51,37.49,5,1
652,22,58,105.57,6,0
653,52,26,42.72,6,0
654,29,46,103.7,6,1
655,42,29,47.93,2,1
656,69,4,84.29,5,1
657,38,13,89.42,7,1
658,53,39,71.27,3,1
659,40,15,50.53,7,1
660,33,29,41.26,1,0
661,56,29,23.32,9,1
662,62,32,50.39,8,0
663,59,2,85.32,8,1
664,56,47,113.83,7,1
665,31,22,107.12,9,1
666,48,27,96.61,9,1
667,22,67,98.84,0,0
668,52,56,86.5,1,0
669,40,21,46.03,5,1
670,46,47,110.72,9,1
671,60,59,87.07,4,1
672,28,6,76.04,8,0
673,35,19,31.1,4,1
674,64,57,64.71,1,0
675,29,69,66.04,9,1
676,26,3,106.46,3,1
677,27,1,74.66,8,1
678,61,58,58.04,0,0
679,34,38,117.68,0,1
680,55,15,31.07,6,1
681,24,34,62.25,2,0
682,63,61,24.2,9,0
683,30,35,93.99,1,1
684,57,64,111.81,8,1
685,59,25,48.0,2,1
686,26,24,105.83,1,0
687,67,12,49.22,7,1
688,44,18,111.08,9,1
689,19,15,95.4,5,0
690,22,27,100.49,5,1
691,46,60,21.8,9,1
692,54,46,116.28,6,1
693,55,17,92.67,6,1
694,36,53,50.48,5,1
695,25,8,102.94,3,1
696,65,27,48.15,8,1
697,62,46,107.28,5,1
698,18,50,31.26,3,0
699,39,71,90.37,2,0
700,69,3,74.07,3,1
701,34,64,29.65,2,1
702,24,44,44.19,1,1
703,42,53,21.24,4,1
704,62,24,66.88,1,1
705,21,60,50.13,5,0
706,53,3,79.84,2,1
707,23,20,49.72,5,1
708,48,46,49.99,9,1
709,36,15,94.32,8,1
710,61,25,24.81,0,1
711,56,71,110.29,5,0
712,44,17,105.23,8,1
713,27,9,86.78,3,0
714,43,38,79.32,1,0
715,36,48,109.23,3,1
716,56,60,38.53,0,0
717,20,63,27.9,2,0
718,62,2,43.95,9,1
719,30,11,99.46,8,1
720,67,64,23.47,9,0
721,45,21,78.28,4,0
722,37,18,119.54,5,0
723,45,64,105.57,2,1
724,25,38,72.14,4,1
725,58,32,26.36,7,0
726,56,11,103.14,5,1
727,18,45,79.9,3,0
728,20,33,31.49,1,1
729,30,41,29.39,8,1
730,45,8,110.96,0,0
731,66,11,86.92,0,1
732,42,51,102.93,3,0
733,50,41,107.9,6,0
734,55,17,77.18,0,0
735,23,46,71.74,8,1
736,61,32,63.04,3,0
737,62,54,51.69,2,0
738,49,20,63.46,0,1
739,62,33,97.39,9,1
740,64,40,80.19,3,0
741,38,32,109.25,8,1
742,33,2,64.34,9,1
743,38,33,80.71,5,1
744,28,30,83.13,5,1
745,54,33,79.17,0,0
746,53,26,90.26,9,1
747,52,22,43.74,1,0
748,36,66,71.24,5,0
749,37,38,30.42,1,0
750,35,46,58.45,2,0
751,64,15,68.77,3,0
752,58,44,85.22,4,1
753,66,49,115.05,8,0
754,31,61,80.07,3,1
755,32,67,94.36,8,0
756,48,6,70.63,9,0
757,18,9,83.41,2,1
758,20,6,27.09,7,1
759,33,32,45.44,0,0
760,40,41,56.19,8,1
761,28,8,67.25,8,0
762,29,50,24.56,9,1
763,27,62,34.0,1,1
764,49,62,47.68,3,0
765,33,7,117.15,7,1
766,25,4,53.13,6,0
767,55,6,68.2,0,1
768,29,58,39.61,4,0
769,41,22,81.08,6,1
770,45,26,48.07,3,0
771,25,3,40.7,0,0
772,45,41,71.66,8,1
773,53,60,20.55,4,0
774,43,14,20.77,1,1
775,25,12,41.91,7,0
776,67,12,23.67,1,1
777,45,13,30.8,2,0
778,45,25,53.89,9,1
779,54,45,100.26,0,0
780,58,19,77.2,1,0
781,53,55,71.27,6,1
782,44,45,49.35,9,1
783,34,8,113.18,1,1
784,26,53,59.7,5,0
785,50,55,28.71,2,0
786,37,32,81.71,3,1
787,30,51,31.38,7,0
788,45,44,54.52,2,1
789,65,70,70.74,9,1
790,46,18,107.42,5,0
791,30,22,69.35,0,1
792,63,37,90.23,6,1
793,52,56,119.28,7,1
794,23,59,33.15,7,1
795,35,3,47.47,2,1
796,68,28,59.46,9,1
797,22,35,62.18,0,0
798,64,61,61.1,8,1
799,42,54,110.76,5,1
800,19,63,91.4,8,1
801,27,7,80.79,6,1
802,47,49,50.94,0,0
803,67,31,102.38,0,0
804,62,58,115.51,5,1
805,22,61,102.12,4,0
806,50,24,20.16,8,1
807,18,20,83.64,1,0
808,35,37,25.11,7,1
809,49,4,45.76,4,1
810,64,20,25.95,1,1
811,66,60,80.38,9,1
812,28,24,88.66,5,1
813,38,50,31.45,9,0
814,43,49,58.38,7,1
815,42,51,65.62,3,1
816,39,36,56.91,1,0
817,44,66,32.1,4,1
818,66,34,61.89,1,0
819,30,36,95.12,1,0
820,50,6,27.1,5,0
821,51,39,28.02,9,0
822,58,42,55.48,8,1
823,52,58,114.17,3,0
824,18,12,86.86,5,0
825,38,3,87.87,6,1
826,65,18,56.19,5,1
827,23,40,79.37,7,1
828,45,21,21.01,3,1
829,34,15,83.61,0,0
830,22,26,111.33,6,1
831,48,8,81.26,2,0
832,22,42,107.37,5,1
833,55,44,92.4,1,0
834,20,14,32.06,8,1
835,40,2,110.25,0,0
836,54,37,26.64,5,0
837,54,69,73.4,5,1
838,27,38,34.21,4,1
839,27,41,21.17,4,1
840,36,62,62.2,0,0
841,34,60,49.5,9,0
842,38,14,68.6,4,0
843,31,2,77.72,1,1
844,26,70,24.37,6,1
845,63,17,32.3,2,0
846,18,28,75.86,3,0
847,68,66,54.32,2,1
848,62,35,92.92,2,1
849,30,5,85.23,3,0
850,21,65,104.56,4,1
851,18,40,89.25,0,1
852,66,56,62.99,3,1
853,57,36,87.3,7,1
854,49,45,47.54,9,0
855,51,23,50.63,6,0
856,45,47,98.9,8,1
857,48,31,64.64,4,1
858,25,11,99.84,9,1
859,56,10,102.24,3,1
860,43,67,105.76,7,1
861,51,14,111.66,8,1
862,20,10,63.1,6,1
863,67,1,51.89,6,1
864,29,5,78.22,4,1
865,18,20,57.12,3,1
866,61,8,80.11,9,1
867,22,43,90.56,0,1
868,47,1,88.84,9,0
869,47,57,57.46,9,1
870,34,64,36.69,6,0
871,65,28,63.05,0,0
872,64,37,34.26,0,0
873,40,47,109.01,4,0
874,32,37,54.59,8,0
875,54,49,35.45,5,1
876,38,44,22.54,2,1
877,31,56,84.58,2,0
878,19,28,83.69,6,1
879,28,6,54.06,5,0
880,68,61,27.17,8,1
881,56,20,60.96,5,1
882,55,2,51.12,4,0
883,51,37,87.71,9,1
884,55,20,80.58,6,1
885,67,26,56.46,0,0
886,51,29,41.79,6,0
887,35,1,118.8,2,0
888,47,35,65.4,8,0
889,32,70,88.83,5,1
890,44,59,34.06,8,0
891,68,69,68.56,4,0
892,51,33,22.75,6,1
893,69,51,70.55,3,1
894,55,12,116.4,6,1
895,50,20,58.42,0,0
896,41,53,23.9,6,0
897,32,43,23.1,7,0
898,47,50,58.8,4,1
899,59,29,36.0,1,1
900,68,57,22.34,4,0
901,34,39,95.62,5,1
902,22,56,65.85,1,0
903,46,43,48.92,5,0
904,21,50,110.01,5,1
905,27,23,31.61,0,1
906,34,44,115.59,0,1
907,27,38,51.4,9,1
908,34,23,108.84,2,0
909,37,45,80.29,9,1
910,41,52,102.67,9,1
911,22,50,118.4,2,0
912,51,8,48.84,3,0
913,23,1,116.11,1,1
914,19,8,58.95,8,1
915,30,29,58.55,9,1
916,60,5,54.04,6,1
917,60,47,74.14,6,1
918,65,34,35.41,5,0
919,28,65,75.37,2,0
920,68,55,74.17,5,0
921,64,43,96.19,7,1
922,40,30,103.36,7,1
923,33,17,64.04,8,1
924,48,26,50.23,0,0
925,28,8,45.93,0,0
926,33,47,39.46,2,1
927,25,46,25.76,2,0
928,21,68,54.24,9,1
929,57,33,47.02,7,1
930,21,1,116.64,9,1
931,42,19,75.77,0,1
932,20,31,54.73,1,1
933,49,14,78.05,1,1
934,20,53,33.92,2,0
935,44,48,64.4,5,0
936,46,69,82.62,0,0
937,49,62,68.89,1,0
938,67,66,60.18,0,0
939,68,64,119.38,4,0
940,36,70,108.03,6,1
941,38,63,82.34,7,1
942,22,33,76.94,9,0
943,35,41,82.07,0,1
944,45,48,40.13,6,1
945,59,13,59.51,4,0
946,39,31,23.95,9,0
947,38,68,67.55,0,0
948,23,4,74.3,2,1
949,18,19,42.77,6,1
950,22,70,116.4,9,1
951,58,13,110.95,0,1
952,29,23,92.21,6,1
953,43,1,73.34,4,0
954,63,54,107.0,0,0
955,51,71,33.07,0,0
956,66,15,99.05,0,1
957,31,65,32.48,8,1
958,43,71,99.42,2,0
959,62,15,47.58,4,1
960,44,21,107.71,9,1
961,26,19,114.4,8,1
962,43,60,34.88,5,0
963,64,33,66.27,8,1
964,39,49,118.1,7,1
965,64,35,68.34,7,0
966,47,44,106.35,0,0
967,60,11,78.87,8,1
968,65,66,57.53,5,0
969,34,46,48.58,8,1
970,43,9,40.32,2,0
971,53,3,96.18,2,0
972,18,26,58.65,5,1
973,25,48,71.13,8,1
974,66,66,69.23,6,1
975,52,70,77.73,2,1
976,69,28,106.56,2,1
977,32,26,118.07,1,1
978,64,25,60.76,8,1
979,39,12,102.75,2,1
980,31,5,96.45,4,1
981,43,48,77.35,8,1
982,45,37,115.6,7,1
983,40,44,40.05,1,0
984,31,15,30.93,2,0
985,41,43,105.4,1,1
986,19,48,63.91,7,0
987,62,70,104.7,5,1
988,43,46,109.31,5,1
989,31,43,26.25,8,1
990,68,21,108.35,7,0
991,24,23,64.83,3,1
992,20,47,71.04,3,1
993,64,15,82.66,8,1
994,40,25,112.64,0,1
995,63,36,21.91,1,0
996,60,51,67.68,1,0
